Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,D1_5,*,PASS,*,QUAL,*,0.894981,0.972444,0.189955,0.932106,15,81,38708702,33466476.000000,0.000000,3885,.,.,2184.000000,1523.000000,,1.43401181878,3477,.,.,1893.000000,1455.000000,,1.30103092784,408,.,.,291.000000,68.000000,,4.27941176471,4480,.,.,2611.000000,1869.000000,,1.39700374532,3529,.,.,2082.000000,1447.000000,,1.43883897719,100,.,.,62.000000,38.000000,,1.63157894737,851,.,.,467.000000,384.000000,,1.21614583333
INDEL,D1_5,TS_boundary,ALL,*,QUAL,*,0.609418,0.766784,0.611264,0.679104,9,56,38708702.000000,33466476.000000,0.000000,361,.,.,208.000000,127.000000,,1.63779527559,220,.,.,120.000000,100.000000,,1.2,141,.,.,88.000000,27.000000,,3.25925925926,728,.,.,449.000000,279.000000,,1.60931899642,217,.,.,117.000000,100.000000,,1.17,66,.,.,43.000000,23.000000,,1.86956521739,445,.,.,289.000000,156.000000,,1.85256410256
INDEL,D1_5,TS_boundary,PASS,*,QUAL,*,0.529086,0.776423,0.526923,0.629325,6,48,38708702.000000,33466476.000000,0.000000,361,.,.,208.000000,127.000000,,1.63779527559,191,.,.,99.000000,92.000000,,1.07608695652,170,.,.,109.000000,35.000000,,3.11428571429,520,.,.,281.000000,239.000000,,1.17573221757,191,.,.,99.000000,92.000000,,1.07608695652,55,.,.,37.000000,18.000000,,2.05555555556,274,.,.,145.000000,129.000000,,1.12403100775
INDEL,D1_5,TS_contained,ALL,*,QUAL,*,0.952043,0.983993,0.0,0.967754,12,37,33466476.000000,33466476.000000,0.000000,3524,.,.,1976.000000,1396.000000,,1.41547277937,3355,.,.,1839.000000,1375.000000,,1.33745454545,169,.,.,137.000000,21.000000,,6.52380952381,3436,.,.,2048.000000,1388.000000,,1.47550432277,3381,.,.,2017.000000,1364.000000,,1.47873900293,55,.,.,31.000000,24.000000,,1.29166666667,0,.,.,0.000000,0.000000,,
INDEL,D1_5,TS_contained,PASS,*,QUAL,*,0.932463,0.986698,0.0,0.958814,9,33,33466476.000000,33466476.000000,0.000000,3524,.,.,1976.000000,1396.000000,,1.41547277937,3286,.,.,1794.000000,1363.000000,,1.31621423331,238,.,.,182.000000,33.000000,,5.51515151515,3383,.,.,2008.000000,1375.000000,,1.46036363636,3338,.,.,1983.000000,1355.000000,,1.46346863469,45,.,.,25.000000,20.000000,,1.25,0,.,.,0.000000,0.000000,,
INDEL,D6_15,*,ALL,*,QUAL,*,0.773836,0.854801,0.395184,0.812306,2,57,38708702,33466476.000000,0.000000,451,.,.,279.000000,100.000000,,2.79,349,.,.,204.000000,93.000000,,2.1935483871,102,.,.,75.000000,7.000000,,10.7142857143,706,.,.,524.000000,182.000000,,2.87912087912,365,.,.,272.000000,93.000000,,2.9247311828,62,.,.,49.000000,13.000000,,3.76923076923,279,.,.,203.000000,76.000000,,2.67105263158
INDEL,D6_15,*,PASS,*,QUAL,*,0.691796,0.867532,0.322183,0.769761,2,46,38708702,33466476.000000,0.000000,451,.,.,279.000000,100.000000,,2.79,312,.,.,173.000000,88.000000,,1.96590909091,139,.,.,106.000000,12.000000,,8.83333333333,568,.,.,410.000000,158.000000,,2.59493670886,334,.,.,246.000000,88.000000,,2.79545454545,51,.,.,41.000000,10.000000,,4.1,183,.,.,123.000000,60.000000,,2.05
INDEL,D6_15,TS_boundary,ALL,*,QUAL,*,0.373333,0.41791,0.58642,0.394366,0,36,38708702.000000,33466476.000000,0.000000,75,.,.,53.000000,9.000000,,5.88888888889,28,.,.,22.000000,6.000000,,3.66666666667,47,.,.,31.000000,3.000000,,10.3333333333,162,.,.,120.000000,42.000000,,2.85714285714,28,.,.,22.000000,6.000000,,3.66666666667,39,.,.,32.000000,7.000000,,4.57142857143,95,.,.,66.000000,29.000000,,2.27586206897
INDEL,D6_15,TS_boundary,PASS,*,QUAL,*,0.333333,0.438596,0.55814,0.378788,0,29,38708702.000000,33466476.000000,0.000000,75,.,.,53.000000,9.000000,,5.88888888889,25,.,.,19.000000,6.000000,,3.16666666667,50,.,.,34.000000,3.000000,,11.3333333333,129,.,.,93.000000,36.000000,,2.58333333333,25,.,.,19.000000,6.000000,,3.16666666667,32,.,.,27.000000,5.000000,,5.4,72,.,.,47.000000,25.000000,,1.88
INDEL,D6_15,TS_contained,ALL,*,QUAL,*,0.853723,0.936111,0.0,0.893021,2,21,33466476.000000,33466476.000000,0.000000,376,.,.,226.000000,91.000000,,2.48351648352,321,.,.,182.000000,87.000000,,2.09195402299,55,.,.,44.000000,4.000000,,11.0,360,.,.,267.000000,93.000000,,2.87096774194,337,.,.,250.000000,87.000000,,2.87356321839,23,.,.,17.000000,6.000000,,2.83333333333,0,.,.,0.000000,0.000000,,
